comments_count	country_code	created_at	creator_subscriptions	followers_count	followings_count	full_name	id	kind	likes_count	playlist_likes_count	verified	playlist_count	reposts_count	track_count	username	badges
44	VN	2011-10-31T10:24:30Z	[{'product': {'id': 'creator-pro-unlimited'}}]	2700	2	Hieu Tran	8532516	user	99	3	False	6	None	79	Hieu Tran Music Producer	{'pro': False, 'pro_unlimited': True, 'verified': False}
37	AU	2011-12-02T06:59:50Z	[{'product': {'id': 'creator-pro'}}]	7544	110		9423936	user	631	4	False	3	None	59	Ronniboi	{'pro': True, 'pro_unlimited': False, 'verified': False}
9	None	2011-03-29T06:34:41Z	[{'product': {'id': 'creator-pro-unlimited'}}]	171517	68		3900683	user	3	0	True	5	None	181	Touliver	{'pro': False, 'pro_unlimited': True, 'verified': True}
267	None	2014-11-30T14:55:30Z	[{'product': {'id': 'free'}}]	2138	44	Taylor.	125512733	user	648	7	True	0	None	33	TaylorDaClownn.	{'pro': False, 'pro_unlimited': False, 'verified': True}
2	VN	2012-08-12T01:43:05Z	[{'product': {'id': 'free'}}]	5732	8	Quynh Nhu Tran	21985491	user	166	1	True	1	None	9	TÙA	{'pro': False, 'pro_unlimited': False, 'verified': True}
159	VN	2016-11-16T05:32:56Z	[{'product': {'id': 'creator-pro-unlimited'}}]	2709	17		268637158	user	261	2	True	2	None	25	VRT	{'pro': False, 'pro_unlimited': True, 'verified': True}
465	VN	2016-03-10T06:48:06Z	[{'product': {'id': 'free'}}]	11218	241	Hoàng Long Nguyễn	211162020	user	393	0	True	0	None	26	Hustlang Winno 🐉🐍	{'pro': False, 'pro_unlimited': False, 'verified': True}
8	US	2017-03-12T02:16:30Z	[{'product': {'id': 'free'}}]	95	11	H.A Music B	294660233	user	97	0	False	0	None	12	H.A Music B	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	None	2021-08-10T07:34:33Z	[{'product': {'id': 'free'}}]	3277	97		1017427111	user	0	0	False	0	None	36	L2Share♫140	{'pro': False, 'pro_unlimited': False, 'verified': False}
6	VN	2014-08-14T16:39:26Z	[{'product': {'id': 'free'}}]	9810	28	Rum	108936759	user	50	0	True	1	None	12	Rum	{'pro': False, 'pro_unlimited': False, 'verified': True}
10	None	2014-12-24T17:11:32Z	[{'product': {'id': 'free'}}]	2269	137	UNKNOWN Team	129374399	user	67	11	False	9	None	33	UNK-Team	{'pro': False, 'pro_unlimited': False, 'verified': False}
12	US	2018-05-23T11:28:32Z	[{'product': {'id': 'free'}}]	1180	14		452758836	user	20	27	False	28	None	8	Phuc Duong	{'pro': False, 'pro_unlimited': False, 'verified': False}
4	VN	2020-08-14T01:50:21Z	[{'product': {'id': 'free'}}]	2789	10		867403513	user	53	0	False	1	None	16	𝑪𝒂̀ 𝒑𝒉𝒆̂ 𝒔𝒖̛̃𝒂 (đá) ☕	{'pro': False, 'pro_unlimited': False, 'verified': False}
0	VN	2017-03-01T00:46:07Z	[{'product': {'id': 'free'}}]	27	52	Nguyên Minh	292138827	user	359	3	False	0	None	5	𝚓𝚞𝚜𝚝 𝚞	{'pro': False, 'pro_unlimited': False, 'verified': False}
64	VN	2019-06-10T02:59:50Z	[{'product': {'id': 'free'}}]	430	124	Jason Pham	649761321	user	299	8	False	0	None	10	callwhenyougetlost	{'pro': False, 'pro_unlimited': False, 'verified': False}
16	VN	2018-03-06T20:49:40Z	[{'product': {'id': 'free'}}]	4957	9	HOANG DANG PHUONG	411446838	user	2	0	False	0	None	14	Phượng Híp	{'pro': False, 'pro_unlimited': False, 'verified': False}
